session_id,time_to_cart,hour_of_cart,day_of_week,views_before_cart,total_events_before_cart,browse_intensity_pre_cart,unique_products_viewed,unique_categories_viewed,unique_brands_viewed,avg_viewed_price,max_viewed_price,min_viewed_price,price_variance_viewed,initial_cart_value,initial_cart_items,avg_cart_item_price,avg_time_between_events,event_acceleration,category_focus_ratio,main_category,target_purchase
ecac9c8f-b088-49d1-8884-32413df4c307,41.0,5,4,2,2,2.926829268292683,2,1,1,622.605,731.04,514.17,23516.298450000002,731.04,1,731.04,29.0,0.0,1.0,electronics,1
ecacd1a2-82c8-4426-8169-104f27ebbe69,14.0,12,5,1,1,4.285714285714286,1,0,0,28.29,28.29,28.29,0.0,28.29,1,28.29,0.0,0.0,0.0,unknown,0
ecad1a6c-81d8-4804-b852-1176eddb16f7,43.0,10,2,1,1,1.3953488372093024,1,1,1,931.8,931.8,931.8,0.0,931.8,1,931.8,0.0,0.0,1.0,electronics,1
ecad33af-7f4e-46fb-a93c-fd7dcf6129b6,3412.0,6,2,9,9,0.15826494724501758,4,1,1,702.9433333333334,771.94,580.45,6913.489600000004,628.78,1,628.78,412.375,-2233.0,1.0,electronics,0
ecad52c4-1c39-4739-8bab-fa358a26b0ea,50.0,12,5,1,1,1.2,1,1,1,179.85,179.85,179.85,0.0,179.85,1,179.85,0.0,0.0,1.0,electronics,1
ecad69d5-f9b7-41ae-8da5-3821c165094e,38.0,8,3,1,1,1.5789473684210527,1,1,1,759.87,759.87,759.87,0.0,759.87,1,759.87,0.0,0.0,1.0,electronics,0
ecadb75f-c3d6-4037-badf-6ae157b9e68d,879.0,8,6,8,8,0.5460750853242321,3,1,2,252.15875,341.66,230.78,1406.282041071429,230.78,1,230.78,115.0,-17.0,1.0,electronics,0
ecae7f15-39c6-4cda-bd17-7078e5cf81c3,34.0,8,6,1,1,1.7647058823529411,1,1,1,811.51,811.51,811.51,0.0,811.51,1,811.51,0.0,0.0,1.0,electronics,0
ecaeeba8-b7a5-4db3-9f5e-bf41d1a4ec24,218.0,14,6,3,3,0.8256880733944955,2,1,1,782.7199999999999,814.64,766.76,764.1647999999998,814.64,1,814.64,99.0,-42.0,1.0,electronics,0
ecaf3aa5-8274-489c-a5f2-5fd0d73cab5e,14.0,3,2,1,1,4.285714285714286,1,0,1,112.62,112.62,112.62,0.0,112.62,1,112.62,0.0,0.0,0.0,unknown,0
ecb088d7-1782-4493-8914-86f0652b9343,7.0,10,6,1,1,8.571428571428571,1,1,1,128.68,128.68,128.68,0.0,128.68,1,128.68,0.0,0.0,1.0,electronics,1
ecb12ee5-aa04-4b95-a358-825c5c8060c4,289.0,4,6,3,3,0.6228373702422145,1,1,1,179.85,179.85,179.85,0.0,179.85,1,179.85,47.0,52.0,1.0,electronics,0
ecb2f7f4-eae3-4970-bda9-330c48bb81cc,185.0,3,5,1,1,0.3243243243243243,1,1,1,194.34,194.34,194.34,0.0,194.34,1,194.34,0.0,0.0,1.0,electronics,0
ecb330d6-71b4-4087-a1a9-55e562d5351d,15.0,6,5,1,1,4.0,1,1,1,135.01,135.01,135.01,0.0,135.01,1,135.01,0.0,0.0,1.0,electronics,0
ecb4b47b-959f-4d9c-b3ba-dbf84f32787a,72.0,5,0,1,1,0.8333333333333334,1,1,1,128.68,128.68,128.68,0.0,128.68,1,128.68,0.0,0.0,1.0,electronics,0
